sessions,hours_recorded,views,hours_viewed
20,46.08,"1,294",450.76
28,24.38,863,240.1
25,18.43,792,223.49
65,15.68,"1,263",132.84
22,16.68,368,101.06
23,24.97,363,94.18
8,8.03,264,86.78
27,15.29,470,74.05
11,7.11,436,72.07
45,10.65,525,62.53
46,11.98,366,56.02
48,12.52,329,48.99
10,5.31,306,44.15
28,28.92,175,42.65
19,11.13,459,40.3
4,2.47,97,39.35
15,9.54,572,34.95
25,23.53,169,33.92
16,25.54,174,31.79
31,2.22,578,29.68
3,1.02,200,27.91
4,2.47,75,22.53
90,18.94,175,21.58
8,3.55,120,21.51
4,1.4,154,18.93
36,29.46,127,18.84
6,12.34,27,18.47
4,2.47,49,18.45
5,2.49,99,15.83
16,20.06,26,15.17
1,0.39,94,15.01
91,19.11,114,14.83
3,0.57,96,12.73
7,4.02,98,12.2
12,6.9,159,11.86
14,6.15,93,11.57
4,2.47,31,11.4
10,5.19,93,10.45
10,1.54,78,10.14
10,1.51,341,9.82
19,8.24,209,9.31
6,1.51,53,9.27
6,1.7,57,9.2
3,2.07,43,9.03
25,19.15,67,8.91
11,5.38,117,8.67
4,0.38,124,7.3
4,2.47,15,7.16
69,6.19,123,6.62
1,0.46,41,6.33
20,3.22,78,5.88
34,20.8,63,5.73
3,0.69,27,5.7
21,17.29,118,5.62
10,1.2,38,5.37
20,44.89,7,5.36
19,45.65,21,5.36
71,6.58,144,5.34
25,12.25,95,5.34
60,5.31,119,5.24
19,7.99,71,4.94
3,0.82,33,4.86
91,19.14,56,4.68
1,0.96,23,4.34
2,1.54,24,4.25
9,3.66,21,3.92
4,0.86,25,3.89
28,11.74,65,3.87
1,0.13,53,3.85
3,8.22,3,3.82
18,27.35,13,3.57
40,28.79,38,3.37
35,9.08,31,3.28
4,0.77,42,3.16
6,1.6,20,3.02
1,0.18,22,2.7
1,0.41,36,2.6
8,0.17,97,2.54
1,0.41,7,2.35
5,2.09,36,2.31
2,0.21,39,2.27
1,0.48,13,2.25
3,0.45,20,1.95
80,10.64,35,1.91
3,0.42,37,1.8
16,1.68,28,1.62
6,0.61,30,1.56
1,0.07,66,1.51
1,0.09,21,1.4
34,24.13,29,1.37
1,0.13,21,1.37
19,11.03,13,1.36
4,0.36,54,1.34
20,8.5,12,1.29
1,0.17,16,1.25
2,0.22,27,1.16
20,37.73,1,1.16
1,0.2,10,1.09
6,4.68,8,0.97
16,8.99,1,0.95
1,0.4,14,0.92
23,3.51,24,0.84
5,2.99,17,0.83
10,3.87,14,0.72
4,0.47,9,0.62
34,28.14,5,0.59
116,8.65,44,0.46
19,32.71,20,0.44
5,1.07,10,0.4
63,5.48,12,0.39
49,5.18,13,0.31
25,32.78,6,0.24
1,0.07,8,0.23
10,3.87,6,0.22
35,8.77,3,0.19
20,30.84,4,0.16
2,0.47,1,0.16
1,0.12,2,0.15
1,0.04,6,0.15
6,1.09,5,0.12
1,0.43,2,0.12
2,0.91,6,0.11
45,4.54,10,0.11
1,0.04,8,0.11
58,5.56,1,0.11
10,9.02,7,0.09
1,0.02,9,0.09
66,6.62,1,0.08
2,1.22,1,0.08
22,18.43,2,0.07
5,0.8,5,0.06
19,11.03,1,0.06
1,0.52,3,0.05
2,0.38,12,0.04
3,2.97,6,0.03
1,1.02,2,0.03
19,48.5,11,0.03
20,30.67,1,0.02
1,1.03,5,0.02
1,0.19,1,0.01
9,1.1,5,0.01
41,6.1,5,0.01
26,20.56,1,0.01
17,0.55,2,0.01
2,2.96,3,0.01
2,0.26,1,0.01
1,0.03,6,0.01
4,0.71,3,0.01
83,4.53,2,0
1,0.15,1,0
2,0.2,1,0
11,1.45,2,0
12,0.36,1,0
2,0.04,2,0
13,16.44,6,0
7,1.66,3,0
27,18.45,1,0
10,6.95,2,0
11,0.4,1,0